Frequency (GHz);Noise (dBc/Hz)
0.00;-161.00
0.03;-160.89
0.05;-160.70
0.08;-160.42
0.11;-160.07
0.13;-159.67
0.16;-159.28
0.19;-158.94
0.21;-158.68
0.24;-158.55
0.27;-158.55
0.29;-158.67
0.32;-158.86
0.35;-159.06
0.37;-159.19
0.40;-159.19
0.43;-159.05
0.45;-158.76
0.48;-158.38
0.51;-157.96
0.53;-157.60
0.56;-157.34
0.59;-157.23
0.61;-157.25
0.64;-157.39
0.67;-157.62
0.69;-157.91
0.72;-158.26
0.75;-158.67
0.77;-159.08
0.80;-159.45
0.83;-159.71
0.85;-159.83
0.88;-159.80
0.91;-159.65
0.93;-159.42
0.96;-159.13
0.99;-158.82
1.01;-158.53
1.04;-158.28
1.07;-158.06
1.09;-157.87
1.12;-157.70
1.15;-157.57
1.17;-157.48
1.20;-157.46
1.23;-157.51
1.25;-157.63
1.28;-157.80
1.31;-158.01
1.33;-158.22
1.36;-158.42
1.39;-158.59
1.41;-158.73
1.44;-158.83
1.47;-158.89
1.49;-158.92
1.52;-159.00
1.55;-158.97
1.57;-158.88
1.60;-158.74
1.63;-158.55
1.65;-158.34
1.68;-158.18
1.71;-158.11
1.73;-158.16
1.76;-158.34
1.79;-158.59
1.81;-158.84
1.84;-159.03
1.87;-159.11
1.89;-159.07
1.92;-158.93
1.95;-158.76
1.97;-158.61
2.00;-158.49
2.03;-158.37
2.05;-158.24
2.08;-158.06
2.11;-157.82
2.13;-157.56
2.16;-157.33
2.19;-157.21
2.21;-157.27
2.24;-157.52
2.27;-157.92
2.29;-158.42
2.32;-158.93
2.35;-159.39
2.37;-159.77
2.40;-160.06
2.43;-160.28
2.45;-160.46
2.48;-160.60
2.51;-160.68
2.54;-160.67
2.56;-160.55
2.59;-160.29
2.62;-159.92
2.64;-159.51
2.67;-159.15
2.70;-158.91
2.72;-158.81
2.75;-158.83
2.78;-158.89
2.80;-158.93
2.83;-158.91
2.86;-158.84
2.88;-158.74
2.91;-158.67
2.94;-158.63
2.96;-158.64
2.99;-158.68
3.02;-158.60
3.04;-158.88
3.07;-159.32
3.10;-159.88
3.12;-160.47
3.15;-160.97
3.18;-161.23
3.20;-161.20
3.23;-160.93
3.26;-160.56
3.28;-160.25
3.31;-160.12
3.34;-160.19
3.36;-160.36
3.39;-160.48
3.42;-160.41
3.44;-160.06
3.47;-159.41
3.50;-158.55
3.52;-157.64
3.55;-156.80
3.58;-156.17
3.60;-155.82
3.63;-155.74
3.66;-155.89
3.68;-156.18
3.71;-156.51
3.74;-156.81
3.76;-157.07
3.79;-157.28
3.82;-157.48
3.84;-157.69
3.87;-157.95
3.90;-158.28
3.92;-158.66
3.95;-159.04
3.98;-159.35
4.00;-159.52
4.03;-159.51
4.06;-159.33
4.08;-159.00
4.11;-158.56
4.14;-158.03
4.16;-157.44
4.19;-156.82
4.22;-156.27
4.24;-155.89
4.27;-155.78
4.30;-156.00
4.32;-156.55
4.35;-157.33
4.38;-158.20
4.40;-159.00
4.43;-159.60
4.46;-159.95
4.48;-160.06
4.51;-160.04
4.54;-159.95
4.56;-159.82
4.59;-159.64
4.62;-159.36
4.64;-158.98
4.67;-158.52
4.70;-158.04
4.72;-157.62
4.75;-157.31
4.78;-157.15
4.80;-157.15
4.83;-157.28
4.86;-157.48
4.88;-157.70
4.91;-157.89
4.94;-158.02
4.96;-158.13
4.99;-158.25
5.02;-158.40
5.04;-158.59
5.07;-158.82
5.10;-159.07
5.12;-159.33
5.15;-159.58
5.18;-159.74
5.20;-159.77
5.23;-159.61
5.26;-159.30
5.28;-158.92
5.31;-158.58
5.34;-158.36
5.36;-158.28
5.39;-158.30
5.42;-158.32
5.44;-158.24
5.47;-157.98
5.50;-157.48
5.52;-156.76
5.55;-155.89
5.58;-155.02
5.60;-154.31
5.63;-153.92
5.66;-153.92
5.68;-154.29
5.71;-154.90
5.74;-155.61
5.76;-156.28
5.79;-156.79
5.82;-157.10
5.84;-157.23
5.87;-157.26
5.90;-157.27
5.92;-157.35
5.95;-157.50
5.98;-157.74
6.00;-158.05
6.03;-158.44
6.06;-158.83
6.08;-159.19
6.11;-159.47
6.14;-159.60
6.16;-159.54
6.19;-159.29
6.22;-158.91
6.24;-158.47
6.27;-158.08
6.30;-157.83
6.32;-157.74
6.35;-157.80
6.38;-157.93
6.40;-158.06
6.43;-158.12
6.46;-158.12
6.48;-158.07
6.51;-158.00
6.54;-157.89
6.56;-157.73
6.59;-157.51
6.62;-157.26
6.64;-157.05
6.67;-157.01
6.70;-157.25
6.72;-157.82
6.75;-158.71
6.78;-159.79
6.80;-160.83
6.83;-161.57
6.86;-161.83
6.88;-161.60
6.91;-161.02
6.94;-160.29
6.96;-159.64
6.99;-159.15
7.02;-158.81
7.04;-158.57
7.07;-158.37
7.10;-158.20
7.12;-158.12
7.15;-158.18
7.18;-158.42
7.20;-158.81
7.23;-159.24
7.26;-159.62
7.28;-159.86
7.31;-160.00
7.34;-160.09
7.36;-160.21
7.39;-160.40
7.42;-160.64
7.44;-160.86
7.47;-161.00
7.50;-161.03
7.53;-160.92
7.55;-160.69
7.58;-160.35
7.61;-159.92
7.63;-159.38
7.66;-158.78
7.69;-158.18
7.71;-157.70
7.74;-157.47
7.77;-157.52
7.79;-157.84
7.82;-158.34
7.85;-158.88
7.87;-159.38
7.90;-159.79
7.93;-160.11
7.95;-160.34
7.98;-160.47
8.01;-160.50
8.03;-160.45
8.06;-160.44
8.09;-160.54
8.11;-160.81
8.14;-161.21
8.17;-161.68
8.19;-162.10
8.22;-162.42
8.25;-162.60
8.27;-162.62
8.30;-162.51
8.33;-162.28
8.35;-161.96
8.38;-161.63
8.41;-161.36
8.43;-161.17
8.46;-161.08
8.49;-161.04
8.51;-161.02
8.54;-161.00
8.57;-160.99
8.59;-161.02
8.62;-161.11
8.65;-161.23
8.67;-161.30
8.70;-161.23
8.73;-160.91
8.75;-160.31
8.78;-159.48
8.81;-158.51
8.83;-157.59
8.86;-156.88
8.89;-156.51
8.91;-156.55
8.94;-156.96
8.97;-157.62
8.99;-158.34
9.02;-158.90
9.05;-159.15
9.07;-159.03
9.10;-158.61
9.13;-158.05
9.15;-157.54
9.18;-157.18
9.21;-157.02
9.23;-157.02
9.26;-157.15
9.29;-157.37
9.31;-157.68
9.34;-158.05
9.37;-158.45
9.39;-158.83
9.42;-159.15
9.45;-159.39
9.47;-159.57
9.50;-159.66
9.53;-159.63
9.55;-159.47
9.58;-159.17
9.61;-158.75
9.63;-158.27
9.66;-157.79
9.69;-157.35
9.71;-156.96
9.74;-156.61
9.77;-156.30
9.79;-156.06
9.82;-155.94
9.85;-155.96
9.87;-156.13
9.90;-156.39
9.93;-156.64
9.95;-156.80
9.98;-156.86
10.01;-156.83
10.03;-156.82
10.06;-156.89
10.09;-157.08
10.11;-157.35
10.14;-157.61
10.17;-157.75
10.19;-157.69
10.22;-157.44
10.25;-157.06
10.27;-156.67
10.30;-156.40
10.33;-156.32
10.35;-156.47
10.38;-156.79
10.41;-157.16
10.43;-157.45
10.46;-157.55
10.49;-157.42
10.51;-157.13
10.54;-156.79
10.57;-156.50
10.59;-156.33
10.62;-156.28
10.65;-156.33
10.67;-156.44
10.70;-156.59
10.73;-156.76
10.75;-156.90
10.78;-156.96
10.81;-156.87
10.83;-156.61
10.86;-156.19
10.89;-155.68
10.91;-155.16
10.94;-154.68
10.97;-154.29
10.99;-154.00
11.02;-153.82
11.05;-153.77
11.07;-153.87
11.10;-154.12
11.13;-154.48
11.15;-154.87
11.18;-155.23
11.21;-155.47
11.23;-155.59
11.26;-155.59
11.29;-155.52
11.31;-155.42
11.34;-155.34
11.37;-155.30
11.39;-155.31
11.42;-155.37
11.45;-155.47
11.47;-155.60
11.50;-155.75
11.53;-155.93
11.55;-156.14
11.58;-156.37
11.61;-156.60
11.63;-156.77
11.66;-156.87
11.69;-156.89
11.71;-156.85
11.74;-156.81
11.77;-156.81
11.79;-156.85
11.82;-156.92
11.85;-156.98
11.87;-156.96
11.90;-156.86
11.93;-156.67
11.95;-156.46
11.98;-156.26
